Full Class Sched- ALL COLLEGES,   ,,,,,,,,,,,
Subject,Catalog,Section,Descr,Component,Name,Tot Enrl,Facil ID,Start Date,End Date,Mtg Pat,Mtg Start,Mtg End
BIOL, 160,30,MICROBIOL HEALTH SCI,LEC,"Brown,James W",29,ONLINE,1/23/17,5/12/17,,,
BIOL, 160,31A,MICROBIOL HEALTH SCI,LAB,"Brown,James W",29,ONLINE,1/23/17,5/12/17,,,
BIOL, 175,10,ANATOMY & PHYSIOLOGY I,LEC,"Perkins-Johnston,Penny S",21,ONLINE,1/23/17,5/12/17,,,
BIOL, 175,11A,ANATOMY & PHYSIOLOGY I,LAB,"Perkins-Johnston,Penny S",21,ONLINE,1/23/17,5/12/17,,,
BIOL, 175,20,ANATOMY & PHYSIOLOGY I,LEC,"Brown,James W",17,ONLINE,1/23/17,5/12/17,,,
BIOL, 175,21A,ANATOMY & PHYSIOLOGY I,LAB,"Brown,James W",17,ONLINE,1/23/17,5/12/17,,,
BIOL, 176,10,ANATOMY & PHYSIOLOGY II,LEC,"Sanati,Givon J",84,ACD 102,1/23/17,5/12/17,MWF,8:30:00 AM,9:20:00 AM
BIOL, 176,11A,ANATOMY & PHYSIOLOGY II,LAB,"Fowler,Randall B",24,SCI2 142,1/23/17,5/12/17,R,10:30:00 AM,1:15:00 PM
BIOL, 176,12A,ANATOMY & PHYSIOLOGY II,LAB,"Fowler,Randall B",24,SCI2 142,1/23/17,5/12/17,R,1:45:00 PM,4:30:00 PM
BIOL, 176,13A,ANATOMY & PHYSIOLOGY II,LAB,"Fowler,Randall B",24,SCI2 142,1/23/17,5/12/17,F,10:00:00 AM,12:45:00 PM
BIOL, 176,14A,ANATOMY & PHYSIOLOGY II,LAB,"Fowler,Randall B",12,SCI2 142,1/23/17,5/12/17,F,1:15:00 PM,4:00:00 PM
BIOL, 176,20,ANATOMY & PHYSIOLOGY II,LEC,"Perkins-Johnston,Penny S",26,ONLINE,1/23/17,5/12/17,,,
BIOL, 176,21A,ANATOMY & PHYSIOLOGY II,LAB,"Perkins-Johnston,Penny S",26,ONLINE,1/23/17,5/12/17,,,
BIOL, 177,10,KINE ANATOMY & PHYSIOLOGY I,LEC,"Dwyer,Mary A",48,FCB 101,1/23/17,5/12/17,MWF,7:30:00 AM,8:20:00 AM
BIOL, 177,11A,KINE ANATOMY & PHYSIOLOGY I,LAB,"Dwyer,Mary A",24,SCI2 142,1/23/17,5/12/17,M,10:30:00 AM,1:15:00 PM
BIOL, 177,12A,KINE ANATOMY & PHYSIOLOGY I,LAB,"Sanati,Givon J",24,SCI2 142,1/23/17,5/12/17,M,1:45:00 PM,4:30:00 PM
BIOL, 178,10,KINE ANATOMY & PHYSIOLOGY II,LEC,"Blekeberg,Erik N",69,ACD 102,1/23/17,5/12/17,MWF,7:30:00 AM,8:20:00 AM
BIOL, 178,11A,KINE ANATOMY & PHYSIOLOGY II,LAB,"Blekeberg,Erik N",20,SCI2 142,1/23/17,5/12/17,T,10:30:00 AM,1:15:00 PM
BIOL, 178,12A,KINE ANATOMY & PHYSIOLOGY II,LAB,"Blekeberg,Erik N",15,SCI2 142,1/23/17,5/12/17,T,1:45:00 PM,4:30:00 PM
BIOL, 178,13A,KINE ANATOMY & PHYSIOLOGY II,LAB,"Blekeberg,Erik N",20,SCI2 142,1/23/17,5/12/17,W,10:00:00 AM,12:45:00 PM
BIOL, 178,14A,KINE ANATOMY & PHYSIOLOGY II,LAB,"Blekeberg,Erik N",14,SCI2 142,1/23/17,5/12/17,W,1:15:00 PM,4:00:00 PM
BIOL, 178,20,KINE ANATOMY & PHYSIOLOGY II,LEC,"Mikhail,Mourad M",17,TEME CLASS,1/23/17,5/12/17,M,8:00:00 AM,10:45:00 AM
BIOL, 178,21A,KINE ANATOMY & PHYSIOLOGY II,LAB,"Mikhail,Mourad M",17,TEME CLASS,1/23/17,5/12/17,M,11:00:00 AM,1:45:00 PM
BIOL, 210,10,INTRO CELL/MOLEC BIOL,LEC,"Jancovich,James K",73,SCI2 242,1/23/17,5/12/17,TR,9:00:00 AM,10:15:00 AM
BIOL, 210,11A,INTRO CELL/MOLEC BIOL,LAB,"Osborne,Chris D",25,SCI2 157,1/23/17,5/12/17,T,10:30:00 AM,1:15:00 PM
BIOL, 210,12A,INTRO CELL/MOLEC BIOL,LAB,"Byrne,Patricia M",24,SCI2 157,1/23/17,5/12/17,T,1:45:00 PM,4:30:00 PM
BIOL, 210,13A,INTRO CELL/MOLEC BIOL,LAB,"Osborne,Chris D",24,SCI2 157,1/23/17,5/12/17,R,10:30:00 AM,1:15:00 PM
BIOL, 210,20,INTRO CELL/MOLEC BIOL,LEC,"Kai,Zoya",72,ARTS 240,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
BIOL, 210,21A,INTRO CELL/MOLEC BIOL,LAB,"Soans,Chandrasen",24,SCI2 157,1/23/17,5/12/17,R,1:45:00 PM,4:30:00 PM
BIOL, 210,22A,INTRO CELL/MOLEC BIOL,LAB,"Byrne,Patricia M",24,SCI2 157,1/23/17,5/12/17,W,10:30:00 AM,1:15:00 PM
BIOL, 210,23A,INTRO CELL/MOLEC BIOL,LAB,"Osborne,Chris D",24,SCI2 157,1/23/17,5/12/17,W,1:45:00 PM,4:30:00 PM
BIOL, 211,10,INTRO ORG/POP BIO,LEC,"Mustard,Robert R",65,ARTS 240,1/23/17,5/12/17,TR,9:00:00 AM,10:15:00 AM
BIOL, 211,11A,INTRO ORG/POP BIO,LAB,"Mustard,Robert R",17,SCI 212,1/23/17,5/12/17,W,8:30:00 AM,11:15:00 AM
BIOL, 211,12A,INTRO ORG/POP BIO,LAB,"Mustard,Robert R",24,SCI 212,1/23/17,5/12/17,W,12:30:00 PM,3:15:00 PM
BIOL, 211,13A,INTRO ORG/POP BIO,LAB,"Mustard,Robert R",24,SCI 212,1/23/17,5/12/17,R,12:30:00 PM,3:15:00 PM
BIOL, 211,20,INTRO ORG/POP BIO,LEC,"Brown,Tracey K",72,SBSB 1102,1/23/17,5/12/17,TR,1:00:00 PM,2:15:00 PM
BIOL, 211,21A,INTRO ORG/POP BIO,LAB,"Zappia,Anthony J",24,SCI 212,1/23/17,5/12/17,R,8:30:00 AM,11:15:00 AM
BIOL, 211,22A,INTRO ORG/POP BIO,LAB,"Mustard,Robert R",24,SCI 212,1/23/17,5/12/17,F,8:30:00 AM,11:15:00 AM
